region,zone,dealer,source,type,model,grade,color,booking_date,invoice_date,delivery_date,payment_type, sales amount 
Region 1,Zone 01,10166,Chat,Passenger,SL-Class,BAC,GREY,1/11/2021,10/12/2021,10/12/2021,Cash,"4,100,000.00"
Region 2,Zone 03,20107,Website,Car,CLK Coupe,TAB,WHITE,4/11/2021,18/11/2021,22/11/2021,Installment,"5,500,000.00"
Region 3,Zone 06,10112,Website,Car,CLK Coupe,TAB,WHITE,4/11/2021,18/11/2021,22/11/2021,Installment,"5,500,000.00"
Region 2,Zone 04,10108,Website,Car,CLK Coupe,TAB,WHITE,4/11/2021,18/11/2021,22/11/2021,Installment,"5,500,000.00"
Region 1,Zone 02,10151,Website,Car,CLK Coupe,TAB,WHITE,4/11/2021,18/11/2021,22/11/2021,Cash,"5,500,000.00"
Region 1,Zone 02,10153,Website,Car,CLK Coupe,TAC,BLACK,11/11/2021,19/11/2021,22/11/2021,Cash,"5,500,000.00"
Region 3,Zone 05,10146,Website,Car,M-Class,BAD,WHITE,26/12/2021,29/1/2022,29/1/2022,Cash,"7,500,000.00"
Region 4,Zone 08,16102,Chat,Passenger,SL-Class,BAA,GREY,23/11/2021,27/11/2021,27/11/2021,Cash,"4,100,000.00"
Region 6,Zone 11,14117,Chat,Passenger,SL-Class,BAB,GREY,8/12/2021,7/3/2022,17/3/2022,Cash,"4,100,000.00"
Region 1,Zone 01,10110,Chat,Passenger,SL-Class,BAA,SILVER,23/11/2021,16/12/2021,18/12/2021,Installment,"4,100,000.00"
Region 4,Zone 07,11114,Chat,Passenger,SL-Class,BAC,SILVER,18/1/2022,27/1/2022,27/1/2022,Cash,"4,100,000.00"
Region 4,Zone 07,11106,Chat,Passenger,SL-Class,BAC,SILVER,18/1/2022,27/1/2022,27/1/2022,Cash,"4,100,000.00"
Region 4,Zone 07,11105,Chat,Passenger,SL-Class,BAC,SILVER,18/1/2022,27/1/2022,27/1/2022,Cash,"4,100,000.00"
Region 3,Zone 06,10112,Chat,Passenger,SL-Class,BAA,SILVER,23/11/2021,16/12/2021,18/12/2021,Installment,"4,100,000.00"
Region 3,Zone 05,10146,Chat,Passenger,SE-Class,BAC,WHITE,3/11/2021,15/11/2021,20/11/2021,Cash,"2,500,000.00"
Region 6,Zone 11,14118,Website,Passenger,SL-Class,BAC,GREY,15/11/2021,30/11/2021,4/12/2021,Cash,"4,100,000.00"
Region 6,Zone 12,13131,Chat,Passenger,SL-Class,BAC,GREY,4/11/2021,30/11/2021,30/11/2021,Cash,"4,100,000.00"
Region 6,Zone 12,13110,Chat,Passenger,SL-Class,BAC,GREY,19/2/2022,23/2/2022,28/2/2022,Cash,"4,100,000.00"
